iter	Passed	Remaining
0	0	37
1	0	36
2	1	35
3	1	33
4	1	33
5	2	33
6	2	33
7	2	33
8	3	32
9	3	32
10	3	31
11	4	31
12	4	31
13	5	30
14	5	30
15	5	30
16	6	30
17	6	30
18	6	29
19	7	29
20	7	28
21	7	28
22	8	27
23	8	27
24	9	27
25	9	26
26	9	26
27	10	26
28	10	25
29	10	25
30	11	25
31	11	24
32	11	24
33	12	23
34	12	23
35	12	23
36	13	22
37	13	22
38	14	22
39	14	21
40	14	21
41	14	20
42	15	20
43	15	19
44	15	19
45	16	19
46	16	18
47	17	18
48	17	18
49	17	17
50	18	17
51	18	17
52	18	16
53	19	16
54	19	15
55	19	15
56	20	15
57	20	14
58	20	14
59	21	14
60	21	13
61	22	13
62	22	13
63	22	12
64	23	12
65	23	12
66	23	11
67	24	11
68	24	11
69	24	10
70	25	10
71	25	9
72	26	9
73	26	9
74	26	8
75	27	8
76	28	8
77	28	8
78	29	7
79	29	7
80	29	6
81	30	6
82	30	6
83	30	5
84	31	5
85	31	5
86	32	4
87	32	4
88	32	4
89	33	3
90	33	3
91	33	2
92	34	2
93	34	2
94	34	1
95	35	1
96	35	1
97	35	0
98	36	0
99	36	0
