iter	Passed	Remaining
0	61	61761
1	62	31055
2	62	20806
3	63	15691
4	63	12618
5	63	10568
6	64	9109
7	64	8022
8	65	7173
9	65	6493
10	66	5936
11	66	5471
12	66	5080
13	67	4742
14	67	4459
15	68	4202
16	68	3975
17	69	3771
18	69	3590
19	69	3428
20	70	3279
21	70	3144
22	71	3022
23	71	2909
24	72	2808
25	72	2715
26	73	2631
27	73	2551
28	73	2477
29	74	2406
30	74	2339
31	75	2277
32	75	2217
33	76	2160
34	76	2108
35	77	2061
36	77	2017
37	78	1980
38	78	1938
39	79	1898
40	79	1860
41	79	1822
42	80	1787
43	80	1753
44	81	1720
45	81	1689
46	81	1660
47	82	1632
48	82	1608
49	83	1583
50	83	1558
51	84	1533
52	84	1509
53	84	1487
54	85	1465
55	85	1443
56	86	1422
57	86	1402
58	86	1382
59	87	1363
60	87	1345
61	87	1328
62	88	1311
63	88	1295
64	88	1279
65	89	1265
66	89	1251
67	90	1237
68	90	1222
69	91	1209
70	91	1196
71	91	1183
72	92	1170
73	92	1158
74	93	1147
75	93	1135
76	93	1123
77	94	1113
78	94	1102
79	94	1091
80	95	1080
81	95	1070
82	95	1059
83	96	1049
84	96	1040
85	96	1030
86	97	1021
87	97	1013
88	98	1005
89	98	998
90	99	990
91	99	981
92	99	974
93	100	967
94	100	959
95	101	951
96	101	944
97	101	937
98	102	929
99	102	922
100	102	915
101	103	909
102	103	902
103	103	895
104	104	889
105	104	883
106	105	877
107	105	871
108	105	865
109	106	859
110	106	853
111	106	848
112	107	842
113	107	836
114	108	831
115	108	826
116	108	819
117	108	814
118	109	809
119	109	804
120	110	799
121	110	793
122	110	789
123	111	784
124	111	779
125	111	775
126	112	770
127	112	765
128	112	761
129	113	756
130	113	753
131	113	749
132	114	745
133	114	740
134	114	736
135	115	732
136	115	728
137	116	725
138	116	721
139	116	717
140	117	714
141	117	709
142	117	705
143	118	702
144	118	698
145	118	695
146	119	691
147	119	688
148	119	684
149	120	681
150	120	678
151	120	674
152	121	671
153	121	668
154	122	665
155	122	662
156	122	659
157	123	656
158	123	653
159	123	650
160	124	646
161	124	643
162	124	641
163	125	638
164	125	636
165	126	633
166	126	630
167	126	627
168	127	625
169	127	622
170	127	619
171	128	617
172	128	615
173	129	613
174	129	610
175	129	608
176	130	605
177	130	603
178	131	600
179	131	599
180	131	596
181	132	594
182	132	591
183	132	589
184	133	586
185	133	584
186	133	582
187	134	580
188	134	578
189	135	576
190	135	575
191	136	575
192	137	573
193	137	571
194	137	569
195	138	567
196	138	565
197	139	563
198	139	561
199	139	559
200	140	557
201	140	555
202	141	553
203	141	551
204	141	549
205	142	547
206	142	546
207	142	544
208	143	542
209	143	540
210	143	538
211	144	537
212	144	535
213	145	533
214	145	532
215	146	530
216	146	529
217	147	528
218	147	526
219	148	524
220	148	522
221	148	521
222	149	519
223	149	517
224	149	515
225	150	514
226	150	512
227	150	510
228	151	508
229	151	507
230	151	505
231	152	505
232	153	504
233	153	502
234	154	501
235	154	500
236	154	498
237	155	496
238	155	495
239	155	493
240	156	492
241	156	490
242	156	488
243	157	487
244	157	485
245	158	484
246	158	482
247	158	481
248	159	479
249	159	478
250	159	476
251	160	475
252	160	474
253	161	472
254	161	471
255	161	469
256	162	468
257	162	467
258	162	465
259	163	464
260	163	462
261	163	461
262	164	460
263	164	458
264	164	457
265	165	456
266	165	455
267	166	454
268	166	452
269	167	451
270	167	451
271	168	450
272	168	449
273	169	447
274	169	446
275	169	445
276	170	444
277	170	442
278	170	441
279	171	440
280	171	439
281	171	437
282	172	436
283	172	435
284	173	434
285	173	433
286	174	432
287	174	431
288	174	430
289	175	429
290	175	428
291	176	426
292	176	425
293	176	424
294	177	423
295	177	422
296	177	421
297	178	420
298	178	418
299	179	417
300	179	416
301	179	415
302	180	414
303	180	413
304	181	412
305	181	411
306	181	410
307	182	409
308	182	408
309	182	406
310	183	405
311	183	404
312	183	403
313	184	402
314	184	401
315	184	400
316	185	399
317	185	398
318	185	396
319	186	395
320	187	396
321	187	395
322	188	394
323	188	393
324	188	392
325	189	391
326	189	390
327	190	389
328	190	388
329	190	387
330	191	386
331	191	385
332	191	384
333	192	383
334	192	382
335	193	381
336	193	380
337	193	379
338	194	378
339	194	377
340	195	376
341	195	375
342	195	374
343	196	374
344	196	373
345	196	372
346	197	371
347	197	370
348	197	369
349	198	368
350	198	367
351	198	366
352	199	365
353	199	364
354	199	363
355	200	362
356	200	361
357	201	360
358	201	359
359	201	358
360	202	357
361	202	356
362	202	355
363	203	354
364	203	354
365	203	353
366	204	352
367	204	351
368	205	350
369	205	349
370	205	348
371	206	347
372	206	347
373	206	346
374	207	345
375	207	344
376	208	343
377	208	342
378	208	342
379	209	341
380	209	340
381	209	339
382	210	338
383	210	337
384	211	337
385	211	336
386	211	335
387	212	334
388	212	333
389	212	332
390	213	332
391	213	331
392	213	330
393	214	329
394	214	328
395	214	327
396	215	327
397	215	326
398	216	325
399	216	324
400	216	323
401	217	323
402	217	322
403	217	321
404	218	320
405	218	319
406	218	318
407	219	318
408	219	317
409	219	316
410	220	315
411	220	314
412	220	313
413	221	313
414	221	312
415	222	312
416	222	311
417	223	310
418	223	310
419	224	309
420	224	308
421	224	307
422	225	307
423	225	306
424	225	305
425	226	304
426	226	303
427	226	303
428	227	302
429	227	301
430	228	301
431	228	300
432	228	299
433	229	298
434	229	298
435	229	297
436	230	296
437	230	295
438	230	295
439	231	294
440	231	293
441	232	292
442	232	292
443	232	291
444	233	290
445	233	290
446	233	289
447	234	288
448	234	287
449	234	287
450	235	286
451	235	285
452	236	285
453	236	284
454	236	283
455	237	283
456	237	282
457	238	282
458	238	281
459	238	280
460	239	279
461	239	279
462	240	278
463	240	277
464	240	277
465	241	276
466	241	275
467	241	275
468	242	274
469	242	273
470	242	272
471	243	272
472	243	271
473	243	270
474	244	270
475	244	269
476	245	268
477	245	268
478	245	267
479	246	266
480	246	265
481	246	265
482	247	264
483	247	263
484	247	263
485	248	262
486	248	261
487	249	261
488	249	260
489	249	259
490	250	259
491	250	258
492	250	257
493	251	257
494	251	256
495	251	255
496	252	255
497	252	254
498	252	253
499	253	253
500	253	252
501	254	252
502	254	251
503	254	250
504	255	250
505	255	249
506	256	249
507	256	248
508	256	247
509	257	247
510	257	246
511	257	245
512	258	245
513	258	244
514	258	243
515	259	243
516	259	242
517	259	241
518	260	241
519	260	240
520	261	240
521	261	239
522	261	238
523	262	238
524	262	237
525	262	236
526	263	236
527	263	235
528	263	235
529	264	234
530	264	233
531	265	233
532	265	232
533	265	232
534	266	231
535	266	230
536	266	230
537	267	229
538	267	228
539	267	228
540	268	227
541	268	227
542	269	226
543	269	225
544	269	225
545	270	224
546	270	224
547	271	223
548	271	222
549	271	222
550	272	221
551	272	221
552	272	220
553	273	219
554	273	219
555	273	218
556	274	218
557	274	217
558	274	216
559	275	216
560	275	215
561	276	215
562	276	214
563	276	213
564	277	213
565	277	212
566	277	212
567	278	211
568	278	211
569	279	210
570	279	210
571	279	209
572	280	208
573	280	208
574	281	207
575	281	207
576	281	206
577	282	206
578	282	205
579	283	204
580	283	204
581	283	203
582	284	203
583	284	202
584	284	202
585	285	201
586	285	200
587	285	200
588	286	199
589	286	199
590	287	198
591	287	198
592	287	197
593	288	196
594	288	196
595	288	195
596	289	195
597	289	194
598	289	194
599	290	193
600	290	193
601	291	192
602	291	191
603	291	191
604	292	190
605	292	190
606	292	189
607	293	189
608	293	188
609	293	187
610	294	187
611	294	186
612	294	186
613	295	185
614	295	185
615	295	184
616	296	184
617	296	183
618	297	182
619	297	182
620	297	181
621	298	181
622	298	180
623	299	180
624	299	179
625	299	179
626	300	178
627	300	178
628	301	177
629	301	177
630	301	176
631	302	175
632	302	175
633	302	174
634	303	174
635	303	173
636	304	173
637	304	172
638	304	172
639	305	171
640	305	171
641	305	170
642	306	169
643	306	169
644	306	168
645	307	168
646	307	167
647	308	167
648	308	166
649	308	166
650	309	165
651	309	165
652	309	164
653	310	164
654	310	163
655	311	163
656	311	162
657	312	162
658	312	161
659	312	161
660	313	160
661	313	160
662	313	159
663	314	159
664	314	158
665	315	157
666	315	157
667	315	157
668	316	156
669	316	155
670	316	155
671	317	154
672	317	154
673	317	153
674	318	153
675	318	152
676	319	152
677	319	151
678	319	151
679	320	150
680	320	150
681	320	149
682	321	149
683	321	148
684	321	148
685	322	147
686	322	147
687	323	146
688	323	145
689	323	145
690	324	144
691	324	144
692	324	143
693	325	143
694	325	142
695	325	142
696	326	141
697	326	141
698	326	140
699	327	140
700	327	139
701	328	139
702	328	138
703	328	138
704	329	137
705	329	137
706	329	136
707	330	136
708	330	135
709	330	135
710	332	135
711	332	134
712	332	133
713	333	133
714	333	132
715	334	132
716	334	131
717	334	131
718	335	130
719	335	130
720	335	129
721	336	129
722	336	128
723	336	128
724	337	127
725	337	127
726	338	126
727	338	126
728	338	125
729	339	125
730	339	124
731	339	124
732	340	123
733	340	123
734	340	122
735	341	122
736	341	121
737	341	121
738	342	120
739	342	120
740	343	119
741	343	119
742	343	118
743	344	118
744	344	117
745	344	117
746	345	116
747	345	116
748	345	115
749	346	115
750	346	114
751	347	114
752	347	113
753	347	113
754	348	112
755	348	112
756	348	111
757	349	111
758	349	110
759	349	110
760	350	109
761	350	109
762	350	109
763	351	108
764	351	108
765	352	107
766	352	107
767	352	106
768	353	106
769	353	105
770	353	105
771	354	104
772	354	104
773	354	103
774	355	103
775	355	102
776	355	102
777	356	101
778	356	101
779	356	100
780	357	100
781	357	99
782	357	99
783	358	98
784	358	98
785	359	97
786	359	97
787	359	96
788	360	96
789	360	95
790	360	95
791	361	94
792	361	94
793	361	93
794	362	93
795	362	92
796	363	92
797	363	92
798	363	91
799	364	91
800	364	90
801	364	90
802	365	89
803	365	89
804	366	88
805	366	88
806	366	87
807	367	87
808	367	86
809	367	86
810	368	85
811	368	85
812	368	84
813	369	84
814	369	83
815	369	83
816	370	82
817	370	82
818	371	82
819	371	81
820	371	81
821	372	80
822	372	80
823	372	79
824	373	79
825	373	78
826	373	78
827	374	77
828	374	77
829	374	76
830	375	76
831	375	75
832	376	75
833	376	74
834	376	74
835	377	73
836	377	73
837	377	73
838	378	72
839	378	72
840	379	71
841	379	71
842	379	70
843	380	70
844	380	69
845	380	69
846	381	68
847	381	68
848	381	67
849	382	67
850	382	67
851	383	66
852	383	66
853	383	65
854	384	65
855	384	64
856	385	64
857	385	63
858	385	63
859	386	62
860	386	62
861	386	61
862	387	61
863	387	61
864	387	60
865	388	60
866	388	59
867	389	59
868	389	58
869	389	58
870	390	57
871	390	57
872	390	56
873	391	56
874	391	55
875	392	55
876	392	55
877	392	54
878	393	54
879	393	53
880	393	53
881	394	52
882	394	52
883	395	51
884	395	51
885	395	50
886	396	50
887	396	50
888	396	49
889	397	49
890	397	48
891	398	48
892	398	47
893	398	47
894	399	46
895	399	46
896	399	45
897	400	45
898	400	45
899	401	44
900	401	44
901	401	43
902	402	43
903	402	42
904	403	42
905	403	41
906	403	41
907	404	40
908	404	40
909	404	40
910	405	39
911	405	39
912	406	38
913	406	38
914	406	37
915	407	37
916	407	36
917	407	36
918	408	35
919	408	35
920	408	35
921	409	34
922	409	34
923	410	33
924	410	33
925	410	32
926	411	32
927	411	31
928	411	31
929	412	31
930	412	30
931	413	30
932	413	29
933	413	29
934	414	28
935	414	28
936	414	27
937	415	27
938	415	26
939	415	26
940	416	26
941	416	25
942	416	25
943	417	24
944	417	24
945	418	23
946	418	23
947	418	22
948	419	22
949	419	22
950	419	21
951	420	21
952	420	20
953	421	20
954	421	19
955	421	19
956	422	18
957	422	18
958	422	18
959	423	17
960	423	17
961	424	16
962	424	16
963	424	15
964	425	15
965	425	14
966	425	14
967	426	14
968	426	13
969	427	13
970	427	12
971	427	12
972	428	11
973	428	11
974	429	11
975	429	10
976	429	10
977	430	9
978	430	9
979	430	8
980	431	8
981	431	7
982	431	7
983	432	7
984	432	6
985	432	6
986	433	5
987	433	5
988	434	4
989	434	4
990	434	3
991	435	3
992	435	3
993	435	2
994	436	2
995	436	1
996	437	1
997	437	0
998	437	0
999	438	0
